Región,id,Partido,Total de actividades,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales,longitud,latitud
I,406,Hipólito Yrigoyen,2372,496,377,0,2,34,62,19,1875,222,9,84,47,74,1254,115,31,35,-61.66018762608905,-36.25918902073445
C,408,Hurlingham,45830,10424,93,10,75,8437,238,1568,35400,5771,1277,4704,1191,3848,10498,3302,2599,2206,-58.64952538675535,-34.59928305531323
C,410,Ituzaingó,42442,7565,82,10,96,5911,281,1183,34862,6039,1358,4559,1491,3255,10332,3274,2575,1975,-58.68875951557909,-34.63607161201617
C,412,José C. Paz,64496,17729,227,8,47,13129,342,3975,46757,6870,1993,6458,689,6512,14713,3816,2882,2820,-58.77763459833175,-34.51185316281214
I,413,Junín,24067,3691,461,4,43,2253,212,716,20373,4258,398,1193,670,1026,7887,1622,2404,912,-61.00525012787072,-34.546475132400666
I,420,La Costa,16624,1231,55,21,11,501,364,277,15392,2553,1183,552,215,733,7672,582,317,1581,-56.71594027517684,-36.69716782095072
C,427,La Matanza,305054,78181,717,33,390,57442,1782,17814,226830,36593,7470,30817,6789,24530,69566,17698,17185,16179,-58.62544569444762,-34.770348101664
C,441,La Plata,219597,23665,1039,16,1484,11308,1708,8107,195869,17460,4000,9587,4886,9475,92388,27256,21615,9199,-58.01777778856708,-35.003847015806244
C,434,Lanús,122355,22630,214,30,265,18030,921,3167,99694,15281,4491,14537,4779,12632,24952,8493,6972,7553,-58.39469650482231,-34.705654244172585
I,448,Laprida,2557,558,459,0,7,53,17,20,1998,279,16,55,47,57,1440,19,41,40,-60.7681481810556,-37.51650558510951
I,455,Las Flores,5715,1423,480,0,23,649,121,149,4290,574,31,344,98,167,2355,243,366,108,-59.17646094976033,-36.01582665716056
I,462,Leandro N. Alem,3548,985,594,0,0,278,54,58,2562,405,33,226,70,97,1025,92,89,521,-61.61277710505372,-34.49841811623317
I,466,Lezama,1257,318,72,0,0,207,9,29,937,113,48,57,22,47,532,56,25,33,-57.89484438957691,-35.849208392140426
